Batman Arkham Asylum	91	8.9	9	9.1	Superb	 Eidos'; comic book-inspired action title follows the caped crusader as he takes on the Joker and other supervillains in the titular madhouse.	 Action Adventure Fantasy General Fantasy 	T	Eidos Interactive	9.3	9.3	http://www.ign.com/wikis/batman-arkham-asylum	https://www.gamespot.com/batman-arkham-asylum/	"Aug. 25, 2009"	X360 PS3 PC MAC OUYA
Batman Arkham City	96	8.7	9	9	Superb	" Developed by Rocksteady Studios, Batman: Arkham City is an action adventure that builds upon the intense, atmospheric foundation of Batman: Arkham Asylum."	 Action Adventure Fantasy Fantasy 	T	Warner Bros. Interactive Entertainment	9.5	9.4	http://www.ign.com/wikis/batman-arkham-city	https://www.gamespot.com/batman-arkham-city/	"Oct. 18, 2011"	X360 PS3 PC MAC WIIU
Batman Arkham Knight	85	6.7	7	8	Good	" Batman faces the ultimate threat against the city he is sworn to protect. The Scarecrow returns to unite an impressive roster of super villains, including Penguin, Two-Face and Harley Quinn, ..."	 General Fantasy Action Adventure 	M	Warner Bros. Interactive Entertainment	9.2	8.9	http://www.ign.com/wikis/batman-arkham-knight	https://www.gamespot.com/batman-arkham-knight/	"Jun. 23, 2015"	XONE PS4 PC
Batman Arkham Origins	76	7.7	7	8	Good	" Batman: Arkham Origins is the latest entry in the Batman Arkham series that will see a younger Caped Crusader facing many noted villains for the first time, including Deathstroke."	 Action Adventure Fantasy Fantasy 	T	Warner Bros. Interactive Entertainment	7.8	8.2	http://www.ign.com/wikis/batman-arkham-origins	https://www.gamespot.com/batman-arkham-origins/	"Oct. 25, 2013"	X360 PS3 PC WIIU
Battlefield 1	89	8.2	9	8.1	Superb	" Discover classic Battlefield gameplay with epic multiplayer and an adventure-filled campaign. Experience the Dawn of All-Out War, Only in Battlefield 1."	 Action General Shooter First-Person Tactical 	M	Electronic Arts EA Games	9	9	http://www.ign.com/wikis/battlefield-1	https://www.gamespot.com/battlefield-1/	"Oct. 21, 2016"	PS4 XONE PC
Battlefield 2	91	8.4	9.3	9	Superb	" Battlefield 2 brings the intensity of Battlefield 1942 into the modern era with enhanced team play and the latest vehicles and weapons systems available. In this first-person shooter, you';ll choose ..."	 Action Shooter First-Person Tactical Modern Shooter Modern 	T	EA Games	8.9	9	http://www.ign.com/wikis/battlefield-2	https://www.gamespot.com/battlefield-2/	"Jun. 21, 2005"	PC
Battlefield 3	84	7.5	8.5	8.3	Great	 Step into the role of elite US Marines in Battlefield 3.	 Action Shooter First-Person Modern Tactical Shooter Modern Arcade 	M	Electronic Arts	9	8.9	http://www.ign.com/wikis/battlefield-3	https://www.gamespot.com/battlefield-3/	"Oct. 25, 2011"	PC X360 PS3 WIIU
Battlefield 4	79	5.6	8	7.6	Great	 Battlefield 4 is a first-person shooter which features a character-driven campaign that starts with the evacuation of American VIPs from Shanghai and follows your squad';s struggle to find its way ...	 Action Shooter Shooter First-Person Modern Modern Arcade 	M	Electronic Arts	8.5	8.2	http://www.ign.com/wikis/battlefield-4	https://www.gamespot.com/battlefield-4/	"Oct. 29, 2013"	X360 PS3 PC WIIU PS4 XONE
Battlefield Bad Company	83	7.7	8.5	8.5	Great	 Battlefield: Bad Company puts you in control of a squad of renegade soldiers who infiltrate enemy territory for revenge and profit.	 Action Shooter First-Person Modern Shooter Modern Arcade 	T	EA Games	8.6	8.5	http://www.ign.com/wikis/battlefield-bad-company	https://www.gamespot.com/battlefield-bad-company/	"Jun. 23, 2008"	X360 PS3
Battlefield Bad Company 2	88	8.6	9	8.8	Superb	" Battlefield: Bad Company 2 delivers destruction, vehicular warfare, squad play and open world environments in an action game."	 Action Shooter First-Person Modern Shooter Modern Arcade 	M	EA Games	8.9	9	http://www.ign.com/wikis/battlefield-bad-company-2	https://www.gamespot.com/battlefield-bad-company-2/	"Mar. 2, 2010"	X360 PS3 PC IOS
