Name,Score,User Score,Wiki
" Berserk and The Band of the Hawk ",0,0,http://www.ign.com/wikis/create?objectid=20054757
" Beyond Good & Evil ",9,9,http://www.ign.com/wikis/beyond-good-evil-hd
" Beyond Good & Evil HD ",8.5,0,http://www.ign.com/wikis/beyond-good-evil-hd
" Beyond Two Souls ",0,8.6,http://www.ign.com/wikis/beyond-two-souls
" Binary Domain ",7.5,7.9,http://www.ign.com/wikis/binary-domain
" Bionic Commando 1988 ",0,0,NOT PROVIDED
" BioShock ",9.7,0,NOT PROVIDED
" BioShock 2 ",0,8.2,http://www.ign.com/wikis/bioshock-2
" BioShock 2 Special Edition ",9.1,9,http://www.ign.com/wikis/create?objectid=46037
" BioShock Infinite ",9.4,9.2,http://www.ign.com/wikis/bioshock-infinite
" BioShock The Collection ",8.2,9.5,http://www.ign.com/wikis/bioshock-the-collection
" Bioshock Vita ",0,0,http://www.ign.com/wikis/bioshock-vita
" Birthdays the Beginning ",0,0,http://www.ign.com/wikis/create?objectid=20059071
" Black ",8.7,0,NOT PROVIDED
" Black & White ",9.7,8.3,http://www.ign.com/wikis/create?objectid=3897
" Black & White 2 ",8.8,8.4,http://www.ign.com/wikis/black-white-2
" Black Desert Online ",0,0,NOT PROVIDED
" Black Mesa ",0,9,http://www.ign.com/wikis/half-life
" Blacklight Retribution ",8.5,8.3,http://www.ign.com/wikis/blacklight-retribution
" Blackrock Mountain A Hearthstone Adventure ",0,0,http://www.ign.com/wikis/hearthstone-heroes-of-warcraft
" Blades of Steel ",7.5,8.2,http://www.ign.com/wikis/create?objectid=7094
" Blades of Time ",0,7.5,http://www.ign.com/wikis/blades-of-time
" Blaster Master ",0,8.3,http://www.ign.com/wikis/blaster-master
" Blaster Master Zero ",0,7.9,http://www.ign.com/wikis/blaster-master-zero
" BlazBlue Continuum Shift Extend ",8.5,8.5,http://www.ign.com/wikis/blazblue-continuum-shift-extend
" BlazBlue Continuum Shift II Plus ",0,0,http://www.ign.com/wikis/blazblue-continuum-shift-extend
" Bleach Soul Resurreccion ",7,7.8,http://www.ign.com/wikis/bleach-soul-resurreccion
" Blocks That Matter ",8.5,0,http://www.ign.com/wikis/create?objectid=103270
" Blood Bowl II ",7.8,8,http://www.ign.com/wikis/blood-bowl-2
" Bloodborne ",9.1,9.2,http://www.ign.com/wikis/bloodborne
" Bloodborne The Old Hunters ",8,9.7,http://www.ign.com/wikis/bloodborne
" BloodRayne Betrayal ",9,0,http://www.ign.com/wikis/bloodrayne-betrayal
" Bloodstained Ritual of the Night ",0,0,http://www.ign.com/wikis/bloodstained-ritual-of-the-night
" Blue Dragon ",7.9,0,http://www.ign.com/wikis/blue-dragon
" BoneTown ",0,8.8,http://www.ign.com/wikis/bonetown
" Boom Blox ",8.1,8.2,http://www.ign.com/wikis/boom-blox
" Borderlands ",8.8,8.9,http://www.ign.com/wikis/borderlands
" Borderlands 2 ",9,0,http://www.ign.com/wikis/borderlands-2
" Borderlands 2 The Horrible Hunger of the Ravenous Wattle Gobbler ",0,8.2,http://www.ign.com/wikis/borderlands-2
" Borderlands Game of the Year Edition ",8.8,0,http://www.ign.com/wikis/borderlands
" Borderlands The Handsome Collection ",8.4,9.2,http://www.ign.com/wikis/create?objectid=20030413
" Borderlands The PreSequel ",8,8.1,http://www.ign.com/wikis/borderlands-the-pre-sequel
" Botanicula ",9,8.3,http://www.ign.com/wikis/botanicula
" Bound by Flame ",7,6.8,http://www.ign.com/wikis/bound-by-flame
" BoxBoy ",8.2,9,http://www.ign.com/wikis/boxboy
" Br&252tal Legend ",9,0,http://www.ign.com/wikis/brutal-legend
" Braid ",8.8,8.6,http://www.ign.com/wikis/create?objectid=14255495
" Brain Age Train Your Brain in Minutes a Day ",8,0,NOT PROVIDED
" Bravely Default ",8.6,0,http://www.ign.com/wikis/bravely-default
" Bravely Default Collectors Edition ",8.6,0,NOT PROVIDED
" Bravely Second End Layer ",7.1,9.1,http://www.ign.com/wikis/bravely-second
" Breath of Fire IV ",8.2,8.4,http://www.ign.com/wikis/create?objectid=13551
" Brink ",6,7,http://www.ign.com/wikis/brink
" Broforce ",0,6.7,http://www.ign.com/wikis/create?objectid=20019806
" Broken Age ",0,0,http://www.ign.com/wikis/broken-age
" Broken Age Act 1 ",0,8.6,http://www.ign.com/wikis/broken-age
" Broken Age Act 2 ",9,0,NOT PROVIDED
" Broken Age The Complete Adventure ",0,8.5,http://www.ign.com/wikis/broken-age
" Bubble Bobble ",7.5,0,http://www.ign.com/wikis/create?objectid=7246
" Buddy Rush ",0,9.9,http://www.ign.com/wikis/buddy-rush
" Bullet Train ",0,0,NOT PROVIDED
" Bulletstorm ",8,8.3,http://www.ign.com/wikis/bulletstorm
" Bulletstorm Full Clip Edition ",0,8,http://www.ign.com/wikis/bulletstorm
" Bully ",8.9,9,http://www.ign.com/wikis/bully
" Bully Scholarship Edition ",8.7,8.4,http://www.ign.com/wikis/bully
" Burnout Paradise ",8.8,0,http://www.ign.com/wikis/create?objectid=850815
" Burnout Revenge ",8.9,8.7,http://www.ign.com/wikis/burnout-revenge
" Call of Cthulhu Dark Corners of the Earth ",8.2,8.3,http://www.ign.com/wikis/create?objectid=496019
" Call of Cthulhu The Wasted Land ",0,0,http://www.ign.com/wikis/call-of-cthulhu-the-wasted-land
" Call of Duty ",9.3,0,http://www.ign.com/wikis/call-of-duty
" Call of Duty 2 ",9,0,http://www.ign.com/wikis/call-of-duty-2
" Call of Duty 3 ",8.8,0,http://www.ign.com/wikis/call-of-duty-3
" Call of Duty 4 Modern Warfare ",9.4,9.2,http://www.ign.com/wikis/call-of-duty-4-modern-warfare
